name,type,fertilizer_key,weight,country,sort_order,use_case,available
FOMIIMBUR,FOM_II_MBUR,FOM_II_MBUR_BI,50,BI,1,ALL,1
FOMIBAGARA,FOM_I_BAGARA,FOM_I_BAGARA_BI,50,BI,1,ALL,1
FOMITOTAHAZA,FOM_I_TOTA_HAZA,FOM_I_TOTA_HAZA_BI,50,BI,1,ALL,1
DOLOMITE,DOLOMITE,DOLOMITE_BI,50,BI,1,ALL,1
