name,type,n,p,k,price,weight,country,custom,available,created_at
NPK112221                       ,NPK_11_22_21                       ,0,0,0,0,50,GH,0,1,22-11-21 17:25
NPK251010                       ,NPK_25_10_10                       ,0,0,0,0,50,GH,0,1,22-11-21 17:25
NPK152020                       ,NPK_15_20_20                       ,0,0,0,0,50,GH,0,1,22-11-21 17:25
NPK201010                       ,NPK_20_10_10                       ,0,0,0,0,50,GH,0,1,22-11-21 17:25
NPK23105                          ,NPK_23_10_5                          ,0,0,0,0,50,GH,0,1,22-11-21 17:25
NPK123017                       ,NPK_12_30_17                       ,0,0,0,0,50,GH,0,1,22-11-21 17:25
