country,min_local_price,max_local_price,min_usd,max_usd,price_active,rate
NG,-1,-1,0,0,1,390.34
NG,7806.80,11710.20,20,30,1,
NG,12100.54,19517.00,31,50,1,
NG,19907.34,39034.00,51,100,1,
NG,39424.34,58551.00,101,150,1,
NG,58941.34,78068.00,151,200,1,
